NDC,ATC,DRUG,DRUG_NAME_GENERIC
00469061711,L04A,Tacrolimus,Tacrolimus
00056017275,B01A,Warfarin,Warfarin
00338055002,B01A,Heparin Sodium,N/A
0,N/A,D5W,N/A
00054829725,C03C,Furosemide,Furosemide
00056016975,B01A,Warfarin,Warfarin
00056017075,B01A,Warfarin,Warfarin
00469065773,L04A,Tacrolimus,Tacrolimus
00004026001,L04A,Mycophenolate Mofetil,Mycophenolate Mofetil
00004025901,L04A,Mycophenolate Mofetil,Mycophenolate Mofetil
17314931102,N/A,Neutra-Phos,Neutra-Phos
00074779362,B01A,Heparin Sodium,N/A
00074148402,N/A,Nitroglycerin,N/A
51079001920,A06A,Docusate Sodium,Docusate Sodium
00074491023,A03B,Atropine Sulfate,Atropine Sulfate
00024540134,N05C,Zolpidem Tartrate,Zolpidem Tartrate
00074258702,N05C,Midazolam HCl,Midazolam HCl
58177032304,C01D,Nitroglycerin SL,Nitroglycerin SL
00008058107,N05B,Lorazepam,Lorazepam
00074407532,N/A,Magnesium Sulfate,Magnesium Sulfate
58177000104,A12B,Potassium Chloride,Potassium Chloride
00004692506,M01A,Ketorolac,Ketorolac
00074379501,M01A,Ketorolac,Ketorolac
00088171249,A02B,Sucralfate,Sucralfate
00002735501,J01X,Vancomycin HCl,N/A
00713016550,N02B,Acetaminophen,Acetaminophen (Rectal)
00045050130,N02B,Acetaminophen,Acetaminophen
00054465025,N02A,Oxycodone-Acetaminophen,Oxycodone-Acetaminophen
00031670972,A03F,Metoclopramide,Metoclopramide HCl
00074176201,N02A,Morphine Sulfate,Morphine Sulfate
00054354563,N02A,Meperidine,Meperidine
00338070341,B05X,Potassium Chloride,N/A
00074302401,C02D,Nitroprusside Sodium,N/A
00338001702,V06D,D5W,N/A
00517391025,A12A,Calcium Gluconate,Calcium Gluconate
00904107061,A03F,Metoclopramide,Metoclopramide HCl
00088120806,A04A,Dolasetron Mesylate,Dolasetron Mesylate
00004003822,J05A,Valganciclovir HCl,Valganciclovir HCl
00641039425,J01G,NEO*IV*Gentamicin,N/A
63323038810,J01C,NEO*IV*Ampicillin Sodium,N/A
00085036207,C07A,Labetalol HCl,Labetalol HCl
00456066270,A12B,Potassium Chloride,Potassium Chloride
00338070541,B05X,Potassium Chloride,N/A
00338004938,B05X,NS,N/A
54569482100,N01A,Propofol (Generic),N/A
00008092303,A02B,Pantoprazole Sodium,N/A
00517090125,N/A,Hydralazine HCl,Hydralazine HCl
10019001303,N01A,Propofol (Generic),N/A
00074131702,N03A,Phenytoin Sodium,N/A
00074158302,B05X,NS (Glass Bottle),N/A
67286081203,C08C,*NF* Nicardipine HCl IV,N/A
00045152510,J01M,Levofloxacin,Levofloxacin
00074158411,B05X,NS (Glass Bottle),N/A
63323017302,J01G,NEO*IV*Gentamicin,N/A
