ICD9_CODE,ORIGINAL_DESCRIPTION,DESCRIPTION
0010,"The ICD-9 procedure code 0010 refers to the surgical procedure of appendectomy, which is primarily performed to remove the appendix due to acute appendicitis, a condition characterized by inflammation and infection of the appendix. The main goal of this procedure is both diagnostic and therapeutic, as it alleviates symptoms and prevents potential complications such as perforation or peritonitis. Common primary diagnoses for this procedure include acute appendicitis (ICD-9 code 540) and, in some cases, chronic appendicitis (ICD-9 code 541). Following an appendectomy, patients are typically prescribed analgesics such as opioids or non-steroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antibiotics to prevent postoperative infections. Key contraindications include the use of anticoagulants, such as warfarin or direct oral anticoagulants, which may need to be paused prior to the procedure to reduce the risk of excessive bleeding, and caution is advised in patients with known allergies to anesthesia agents or those with significant comorbidities that could complicate recovery.","The ICD-9 procedure code (0010) refers to the surgical procedure of appendectomy, which is primarily performed to remove the appendix due to acute appendicitis (540), a condition characterized by inflammation and infection of the appendix. The main goal of this procedure is both diagnostic and therapeutic, as it alleviates symptoms and prevents potential complications such as perforation or peritonitis. Common primary diagnoses for this procedure include acute appendicitis (540) and, in some cases, chronic appendicitis (541). Following an appendectomy, patients are typically prescribed analgesics such as opioids or non-steroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antibiotics to prevent postoperative infections. Key contraindications include the use of anticoagulants, such as warfarin, which may need to be paused prior to the procedure to reduce the risk of excessive bleeding, and caution is advised in patients with known allergies to anesthesia agents or those with significant comorbidities that could complicate recovery."
0011,"The ICD-9 procedure code 0011 refers to the surgical procedure known as appendectomy, which is primarily performed to remove the appendix due to appendicitis, a condition characterized by inflammation of the appendix that can lead to complications such as perforation or abscess formation. The main goal of this procedure is therapeutic, aimed at alleviating symptoms, preventing further complications, and promoting recovery. Common primary diagnoses for which an appendectomy is indicated include acute appendicitis (ICD-9 code 540) and, less frequently, other conditions such as appendiceal abscess or chronic appendicitis. Following an appendectomy, patients are typically prescribed analgesics such as opioids or nonsteroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antibiotics to prevent or treat potential infections. Key contraindications before and after the procedure include the use of anticoagulants, which may increase the risk of bleeding, and certain NSAIDs that could exacerbate bleeding risks; therefore, these medications are often withheld prior to surgery and monitored closely in the post-operative period.","The ICD-9 procedure code 0011 refers to the surgical procedure known as appendectomy (449), which is primarily performed to remove the appendix due to appendicitis (540), a condition characterized by inflammation of the appendix that can lead to complications such as perforation or abscess formation. The main goal of this procedure is therapeutic, aimed at alleviating symptoms, preventing further complications, and promoting recovery. Common primary diagnoses for which an appendectomy is indicated include acute appendicitis (ICD-9 code 540) and, less frequently, other conditions such as appendiceal abscess (540.9) or chronic appendicitis (541). Following an appendectomy, patients are typically prescribed analgesics such as opioids or nonsteroidal anti-inflammatory drugs (NSAIDs) (548) for pain management, as well as antibiotics to prevent or treat potential infections. Key contraindications before and after the procedure include the use of anticoagulants (ICD-9 code 287.5), which may increase the risk of bleeding, and certain NSAIDs that could exacerbate bleeding risks; therefore, these medications are often withheld prior to surgery and monitored closely in the post-operative period."
0012,"The ICD-9 procedure code 0012 refers to the surgical procedure of appendectomy, which is primarily performed to remove the appendix due to appendicitis, a condition characterized by inflammation of the appendix, often resulting in abdominal pain and potential complications if untreated. This procedure is typically indicated for patients diagnosed with acute appendicitis, which may present with symptoms such as right lower quadrant pain, fever, and nausea, as well as in cases of suspected appendiceal abscess or perforation. Following an appendectomy, patients are commonly prescribed analgesics for pain management, antibiotics to prevent or treat infection, and, in some cases, antiemetics if nausea is present. It is crucial to exercise caution with anticoagulants and non-steroidal anti-inflammatory drugs (NSAIDs) prior to or immediately after the procedure, as these medications can increase the risk of bleeding or interfere with proper healing, necessitating their discontinuation or careful management around the time of surgery.","The ICD-9 procedure code 0012 refers to the surgical procedure of appendectomy (449), which is primarily performed to remove the appendix due to appendicitis (540), a condition characterized by inflammation of the appendix, often resulting in abdominal pain and potential complications if untreated. This procedure is typically indicated for patients diagnosed with acute appendicitis (540), which may present with symptoms such as right lower quadrant pain, fever, and nausea, as well as in cases of suspected appendiceal abscess or perforation. Following an appendectomy (449), patients are commonly prescribed analgesics for pain management, antibiotics (not coded) to prevent or treat infection, and, in some cases, antiemetics (not coded) if nausea is present. It is crucial to exercise caution with anticoagulants (not coded) and non-steroidal anti-inflammatory drugs (NSAIDs) (not coded) prior to or immediately after the procedure, as these medications can increase the risk of bleeding or interfere with proper healing, necessitating their discontinuation or careful management around the time of surgery."
0013,"The ICD-9 procedure code 0013 refers to a diagnostic procedure known as Diagnostic Laparoscopy (5421), which is primarily performed to visualize the abdominal cavity and assess conditions such as abdominal pain, suspected tumors, or other intra-abdominal pathologies. This procedure is typically indicated for diagnoses such as appendicitis, ectopic pregnancy, or unexplained abdominal pain, where a minimally invasive approach is preferred to obtain direct visual evidence for diagnosis or to guide further treatment. Following diagnostic laparoscopy (5421), patients are commonly prescribed analgesics from the non-opioid class, such as acetaminophen or NSAIDs, to manage postoperative pain, and sometimes antibiotics to prevent or treat potential infections. Key contraindications include anticoagulants like warfarin or direct oral anticoagulants, which may need to be paused prior to the procedure to reduce the risk of bleeding, and certain medications that can affect coagulation or healing, necessitating careful consideration and management in the perioperative period.","The ICD-9 procedure code 0013 refers to a diagnostic procedure known as Diagnostic Laparoscopy (5421), which is primarily performed to visualize the abdominal cavity and assess conditions such as abdominal pain, suspected tumors, or other intra-abdominal pathologies. This procedure is typically indicated for diagnoses such as appendicitis (5409), ectopic pregnancy, or unexplained abdominal pain, where a minimally invasive approach is preferred to obtain direct visual evidence for diagnosis or to guide further treatment. Following diagnostic laparoscopy (5421), patients are commonly prescribed analgesics from the non-opioid class, such as acetaminophen or NSAIDs, to manage postoperative pain, and sometimes antibiotics to prevent or treat potential infections. Key contraindications include anticoagulants like warfarin or direct oral anticoagulants, which may need to be paused prior to the procedure to reduce the risk of bleeding, and certain medications that can affect coagulation or healing, necessitating careful consideration and management in the perioperative period."
0014,"The ICD-9 procedure code 0014 refers to the surgical intervention for the treatment of a perforated peptic ulcer, primarily aimed at alleviating the immediate life-threatening condition by repairing the ulcer and preventing peritonitis. This procedure is typically indicated for patients diagnosed with perforated gastric or duodenal ulcers, often associated with underlying conditions such as peptic ulcer disease or chronic gastritis. Following surgery, patients are commonly prescribed proton pump inhibitors (PPIs) and H2 receptor antagonists to reduce gastric acid secretion and promote healing, along with antibiotics to prevent infection and pain management medications such as opioids or non-steroidal anti-inflammatory drugs (NSAIDs) for postoperative discomfort. However, caution is necessary with the use of NSAIDs, as these can exacerbate gastric irritation and should be avoided in the perioperative period. Additionally, anticoagulants may need to be held or adjusted due to the increased risk of bleeding associated with surgical procedures.","The ICD-9 procedure code 0014 refers to the surgical intervention for the treatment of a perforated peptic ulcer, primarily aimed at alleviating the immediate life-threatening condition by repairing the ulcer and preventing peritonitis. This procedure is typically indicated for patients diagnosed with perforated gastric ulcers (ICD-9 code 531) or duodenal ulcers (ICD-9 code 533), often associated with underlying conditions such as peptic ulcer disease or chronic gastritis. Following surgery, patients are commonly prescribed proton pump inhibitors (PPIs) (ICD-9 code 5331) and H2 receptor antagonists to reduce gastric acid secretion and promote healing, along with antibiotics to prevent infection and pain management medications such as opioids or non-steroidal anti-inflammatory drugs (NSAIDs) for postoperative discomfort. However, caution is necessary with the use of NSAIDs (ICD-9 code 5369), as these can exacerbate gastric irritation and should be avoided in the perioperative period. Additionally, anticoagulants may need to be held or adjusted due to the increased risk of bleeding associated with surgical procedures."
0015,"The ICD-9 procedure code 0015 refers to the surgical procedure of appendectomy, which involves the removal of the appendix and is primarily performed to treat acute appendicitis, a condition characterized by inflammation of the appendix that can lead to serious complications if left untreated. This procedure is indicated for patients presenting with symptoms such as abdominal pain, fever, and elevated white blood cell counts, commonly associated with diagnoses like acute appendicitis (ICD-9 code 540). Following an appendectomy, patients are typically prescribed analgesics, such as nonsteroidal anti-inflammatory drugs (NSAIDs) or opioids, to manage postoperative pain, and may also receive antibiotics to prevent or treat any potential infections. It is crucial to note that certain medications, particularly anticoagulants like warfarin, should be carefully managed or temporarily discontinued prior to the procedure to reduce the risk of excessive bleeding during surgery, and nonsteroidal anti-inflammatory drugs may also be cautioned against in the immediate postoperative period due to their effects on platelet function and gastrointestinal irritation.","The ICD-9 procedure code 0015 refers to the surgical procedure of appendectomy (449) which involves the removal of the appendix and is primarily performed to treat acute appendicitis (540), a condition characterized by inflammation of the appendix that can lead to serious complications if left untreated. This procedure is indicated for patients presenting with symptoms such as abdominal pain, fever, and elevated white blood cell counts, commonly associated with diagnoses like acute appendicitis (540). Following an appendectomy, patients are typically prescribed analgesics, such as nonsteroidal anti-inflammatory drugs (NSAIDs) (5551) or opioids, to manage postoperative pain, and may also receive antibiotics to prevent or treat any potential infections. It is crucial to note that certain medications, particularly anticoagulants like warfarin, should be carefully managed or temporarily discontinued prior to the procedure to reduce the risk of excessive bleeding during surgery, and nonsteroidal anti-inflammatory drugs (NSAIDs) may also be cautioned against in the immediate postoperative period due to their effects on platelet function and gastrointestinal irritation."
0017,"ICD-9 procedure code 0017 refers to the surgical procedure of cholecystectomy (5122), specifically the removal of the gallbladder, primarily performed to treat symptomatic gallstones or cholecystitis, which can lead to severe abdominal pain, infection, or complications such as pancreatitis. This procedure is typically indicated for patients diagnosed with ICD-9 codes such as 574.10 (cholelithiasis without cholecystitis) or 575.0 (cholecystitis). Following a cholecystectomy (5122), patients are commonly prescribed analgesics such as opioids or nonsteroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antiemetics to address postoperative nausea. Additionally, bile acid sequestrants may be considered in the long-term management of bile acid diarrhea (78791). Key contraindications include anticoagulants like warfarin, which may need to be held prior to the procedure to minimize the risk of excessive bleeding, and certain nonsteroidal anti-inflammatory drugs that can increase the risk of bleeding and should be stopped before surgery.","ICD-9 procedure code 0017 refers to the surgical procedure of cholecystectomy (5122), specifically the removal of the gallbladder, primarily performed to treat symptomatic gallstones (574.10) or cholecystitis (575.0), which can lead to severe abdominal pain, infection, or complications such as pancreatitis (577.0). This procedure is typically indicated for patients diagnosed with ICD-9 codes such as 574.10 (cholelithiasis without cholecystitis) or 575.0 (cholecystitis). Following a cholecystectomy (5122), patients are commonly prescribed analgesics such as opioids or nonsteroidal anti-inflammatory drugs (NSAIDs) for pain management, as well as antiemetics to address postoperative nausea. Additionally, bile acid sequestrants may be considered in the long-term management of bile acid diarrhea (78791). Key contraindications include anticoagulants like warfarin, which may need to be held prior to the procedure to minimize the risk of excessive bleeding, and certain nonsteroidal anti-inflammatory drugs that can increase the risk of bleeding and should be stopped before surgery."
0018,"ICD-9 procedure code 0018 refers to Endoscopic retrograde cholangiopancreatography (ERCP), a diagnostic and therapeutic procedure primarily aimed at visualizing and treating conditions related to the bile ducts and pancreatic duct. This procedure is typically performed for indications such as choledocholithiasis (bile duct stones), cholangitis (5761) (bile duct infection), and pancreatitis, where obstruction or inflammation is suspected. Following ERCP, patients commonly receive medications such as analgesics for pain management, antibiotics to prevent or treat infection, and sometimes antispasmodics to alleviate any post-procedural discomfort. It is crucial to be cautious with anticoagulants and antiplatelet agents, as these may need to be temporarily discontinued prior to the procedure to minimize the risk of bleeding, particularly if sphincterotomy is performed or if there is a risk of perforation. Additionally, nonsteroidal anti-inflammatory drugs (NSAIDs) may be contraindicated immediately after the procedure due to their potential to increase bleeding risk.","ICD-9 procedure code 0018 refers to Endoscopic retrograde cholangiopancreatography (ERCP) (0062), a diagnostic and therapeutic procedure primarily aimed at visualizing and treating conditions related to the bile ducts and pancreatic duct. This procedure is typically performed for indications such as choledocholithiasis (bile duct stones) (5761), cholangitis (5761) (bile duct infection), and pancreatitis, where obstruction or inflammation is suspected. Following ERCP, patients commonly receive medications such as analgesics for pain management, antibiotics to prevent or treat infection, and sometimes antispasmodics to alleviate any post-procedural discomfort. It is crucial to be cautious with anticoagulants (warfarin) and antiplatelet agents, as these may need to be temporarily discontinued prior to the procedure to minimize the risk of bleeding, particularly if sphincterotomy is performed or if there is a risk of perforation. Additionally, nonsteroidal anti-inflammatory drugs (NSAIDs) may be contraindicated immediately after the procedure due to their potential to increase bleeding risk."
0021,"The ICD-9 procedure code 0021 refers to Excision of perianal abscess, a surgical intervention primarily aimed at diagnosing and therapeutically managing an abscess located around the anal area, with the main goal of alleviating pain, preventing infection spread, and promoting healing. This procedure is typically indicated for patients diagnosed with perianal abscesses, which may be associated with conditions such as anal fissures, inflammatory bowel disease, or infections. Following the excision, common post-procedure medications include analgesics for pain management, antibiotics to prevent or treat any potential infection, and stool softeners to facilitate bowel movements and minimize strain during recovery. However, there are key contraindications to consider; non-steroidal anti-inflammatory drugs (NSAIDs) may need to be avoided immediately after the procedure to reduce the risk of bleeding, and anticoagulants should be carefully managed to prevent complications, emphasizing the importance of a thorough medication review prior to the intervention.","The ICD-9 procedure code 0021 refers to Excision of perianal abscess (1471), a surgical intervention primarily aimed at diagnosing and therapeutically managing an abscess located around the anal area, with the main goal of alleviating pain (30300), preventing infection spread, and promoting healing. This procedure is typically indicated for patients diagnosed with perianal abscesses (566.0), which may be associated with conditions such as anal fissures (5650), inflammatory bowel disease (555.9), or infections. Following the excision, common post-procedure medications include analgesics (30300) for pain management, antibiotics (56881) to prevent or treat any potential infection, and stool softeners to facilitate bowel movements and minimize strain during recovery. However, there are key contraindications to consider; non-steroidal anti-inflammatory drugs (NSAIDs) may need to be avoided immediately after the procedure to reduce the risk of bleeding, and anticoagulants should be carefully managed to prevent complications, emphasizing the importance of a thorough medication review prior to the intervention."
0022,"The ICD-9 procedure code 0022 refers to a therapeutic procedure for the treatment of a duodenal ulcer, specifically the procedure of vagotomy with pyloroplasty. The main goal of this procedure is to reduce gastric acid secretion and promote ulcer healing by surgically cutting the vagus nerve, which innervates the stomach, thereby alleviating symptoms and preventing ulcer recurrence. This procedure is typically indicated for patients diagnosed with duodenal ulcers (ICD-9 code 533) that are refractory to medical management or associated with complications such as bleeding or perforation. Common post-procedure medications include proton pump inhibitors (PPIs) like omeprazole or lansoprazole, which help reduce gastric acid production and promote healing, as well as antibiotics if there is an H. pylori infection. Additionally, antacids may be utilized for symptomatic relief. Key contraindications or cautions include the use of nonsteroidal anti-inflammatory drugs (NSAIDs) and certain anticoagulants, which may exacerbate gastric irritation or increase the risk of bleeding, necessitating their discontinuation prior to and immediately after the procedure to ensure patient safety and optimal recovery.","The ICD-9 procedure code 0022 refers to a therapeutic procedure for the treatment of a duodenal ulcer, specifically the procedure of vagotomy (3453) with pyloroplasty. The main goal of this procedure is to reduce gastric acid secretion and promote ulcer healing by surgically cutting the vagus nerve (3453), which innervates the stomach, thereby alleviating symptoms and preventing ulcer recurrence. This procedure is typically indicated for patients diagnosed with duodenal ulcers (ICD-9 code 533) that are refractory to medical management or associated with complications such as bleeding or perforation. Common post-procedure medications include proton pump inhibitors (PPIs) (53510) like omeprazole or lansoprazole, which help reduce gastric acid production and promote healing, as well as antibiotics if there is an H. pylori infection. Additionally, antacids may be utilized for symptomatic relief. Key contraindications or cautions include the use of nonsteroidal anti-inflammatory drugs (NSAIDs) and certain anticoagulants, which may exacerbate gastric irritation or increase the risk of bleeding, necessitating their discontinuation prior to and immediately after the procedure to ensure patient safety and optimal recovery."
